beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
beryllium, animal brooch, sensation, average height, wide hips, round face, tan skin, chestnut hair, blue eyes, [[curved nose]], full lips, receding chin, long hair, thick hair, side-swept bangs, round breasts, threader earrings, golden, stain lipstick, mint green mesh teddy
beryllium, ankle bracelet, artist, average height, toned, oval face, tan skin, strawberry blonde hair, amber eyes, wide nose, pouty lips, round chin, shoulder-length hair, straight hair, loose waves, natural breasts, threader earrings, soft pink, velvet lipstick, green silk bralette and panty set
beryllium, ankle bracelet, enigma, short, wide hips, triangular face, dark skin, dark brown hair, grey eyes, [[curved nose]], full lips, prominent chin, long hair, coarse hair, sleek straight hair, full breasts, dangle earrings, fuchsia, stain lipstick, black mesh bodysuit with embroidered flowers
beryllium, ankle bracelet, luminary, short, toned, triangular face, tan skin, honey blonde hair, peach eyes, narrow nose, full lips, round chin, long hair, curly hair, side french braid, natural breasts, huggie earrings, teal, velvet lipstick, ivory lace teddy
beryllium, ankle cuff, mistress, short, thin, triangular face, fair skin, dark brown hair, blue eyes, narrow nose, full lips, sharp chin, shoulder-length hair, coarse hair, french braid, asymmetrical breasts, faux gauge earrings, terracotta, metallic lipstick, black lace bustier
beryllium, ankle strap, charmer, tall, toned, triangular face, tan skin, auburn hair, amethyst eyes, narrow nose, pouty lips, sharp chin, shoulder-length hair, straight hair, four-strand braid, augmented breasts, drop earrings, light pink, velvet lipstick, gold mesh bra and panty set with garter belt
beryllium, anklet, empress, average height, lean, round face, olive skin, dark brown hair, jade eyes, long nose, pouty lips, sharp chin, shoulder-length hair, straight hair, fringed bangs, augmented breasts, threader earrings, light pink, satin lipstick, lavender lace bra and panty set
beryllium, anklet, madam, average height, in shape, square face, olive skin, red hair, amber eyes, [[curved nose]], thick lips, round chin, shoulder-length hair, thick hair, top knot, small breasts, hoop earrings, fuchsia, stain lipstick, purple velvet slip with lace trim
beryllium, bangle bracelet, diva, tall, in shape, square face, fair skin, light brown hair, teal eyes, [[curved nose]], thick lips, receding chin, shoulder-length hair, fine hair, long curly hair, round breasts, faux gauge earrings, light pink, sheer lipstick, gold strappy bodysuit
beryllium, beaded bracelet, miss, tall, lean, heart-shaped face, olive skin, chestnut hair, green eyes, straight nose, thick lips, round chin, long hair, fine hair, messy beach waves, firm breasts, hoop earrings, hot pink, matte lipstick, red lace bra and panty set with garter belt
beryllium, beaded bracelet, songstress, average height, in shape, round face, dark skin, auburn hair, ice blue eyes, short nose, full lips, prominent chin, shoulder-length hair, wavy hair, french roll, small breasts, faux gauge earrings, rust, matte lipstick, purple velvet robe with fur trim
beryllium, beaded necklace, miss, short, firm, square face, tan skin, platinum blonde hair, hazel eyes, wide nose, thick lips, sharp chin, long hair, thick hair, frohawk, firm breasts, stud earrings, magenta, stain lipstick, ivory lace teddy
beryllium, bracelet, trailblazer, short, wide hips, square face, fair skin, black hair, brown eyes, long nose, full lips, prominent chin, long hair, fine hair, middle part bangs, soft breasts, hoop earrings, rust, stain lipstick, blue satin and lace cami and short set
beryllium, brooch pin, madam, average height, firm, heart-shaped face, olive skin, honey blonde hair, black eyes, wide nose, full lips, prominent chin, long hair, curly hair, fluffy afro, augmented breasts, threader earrings, pink, velvet lipstick, grey faux leather corset
beryllium, brooch pin, sensation, average height, fit, triangular face, olive skin, dark brown hair, green eyes, short nose, thick lips, receding chin, shoulder-length hair, thick hair, angled bob, round breasts, threader earrings, terracotta, satin lipstick, mint green mesh teddy
beryllium, brooch, babe, short, firm, heart-shaped face, fair skin, silver hair, sapphire eyes, narrow nose, thin lips, prominent chin, long hair, fine hair, braided crown, soft breasts, dangle earrings, brown, satin lipstick, navy blue satin garter belt with suspenders
beryllium, brooch, charmer, average height, wide hips, oval face, olive skin, brunette hair, brown eyes with green flecks, short nose, full lips, sharp chin, long hair, coarse hair, straight bob with layers, small breasts, cuff earrings, mauve, matte lipstick, red satin kimono with lace sleeve detail
beryllium, brooch, gal, tall, in shape, oval face, fair skin, golden blonde hair, black eyes, straight nose, thin lips, receding chin, shoulder-length hair, fine hair, low updo, large breasts, dangle earrings, nude, gloss lipstick, white satin and lace bra and panty set
beryllium, brooch, sensation, average height, wide hips, oval face, fair skin, black hair, green eyes, long nose, pouty lips, sharp chin, shoulder-length hair, coarse hair, formal updo, full breasts, cuff earrings, mauve, satin lipstick, gold mesh bra and panty set with garter belt
beryllium, brooch, sensation, short, athletic, triangular face, olive skin, white hair, teal eyes, wide nose, full lips, sharp chin, long hair, wavy hair, smooth waves, full breasts, threader earrings, golden, gloss lipstick, ivory lace teddy
beryllium, brooch, sensation, tall, slim, round face, tan skin, brunette hair, blue eyes, short nose, thick lips, sharp chin, long hair, curly hair, half up half down, soft breasts, faux gauge earrings, gloss, sheer lipstick, white sheer teddy with lace trim
beryllium, brooch, starlet, tall, slim, round face, dark skin, auburn hair, amethyst eyes, [[curved nose]], full lips, round chin, long hair, curly hair, high chignon, full breasts, clip-on earrings, beige, satin lipstick, brown strappy bodysuit
beryllium, brooch, visionary, average height, toned, triangular face, dark skin, silver hair, ice blue eyes, long nose, thick lips, receding chin, long hair, straight hair, half up half down, natural breasts, stud earrings, teal, satin lipstick, black cutout bodysuit with zipper
beryllium, chain bracelet, heiress, average height, wide hips, diamond-shaped face, fair skin, black hair, light blue eyes, short nose, thick lips, receding chin, shoulder-length hair, curly hair, curled bob, large breasts, drop earrings, nude, sheer lipstick, black cutout bodysuit with zipper
beryllium, chain bracelet, maven, tall, fit, round face, tan skin, silver hair, ice blue eyes, wide nose, thin lips, sharp chin, long hair, coarse hair, rope braid, full breasts, faux gauge earrings, violet, matte lipstick, purple velvet slip with lace trim
beryllium, chain bracelet, siren, average height, lean, round face, dark skin, blonde hair, hazel eyes, [[curved nose]], pouty lips, round chin, shoulder-length hair, wavy hair, viking braid, natural breasts, threader earrings, cherry, sheer lipstick, crimson velvet cami and short set
beryllium, chain bracelet, starlet, short, in shape, oval face, olive skin, strawberry blonde hair, jade eyes, straight nose, thick lips, round chin, long hair, thick hair, high ponytail, small breasts, faux gauge earrings, gloss, sheer lipstick, white satin and lace bra and panty set
beryllium, choker, belle, average height, fit, oval face, dark skin, white hair, green eyes, straight nose, full lips, receding chin, shoulder-length hair, straight hair, long wavy hair, round breasts, threader earrings, gloss, matte lipstick, purple mesh babydoll with matching g-string
beryllium, choker, madame, short, narrow hips, oval face, fair skin, golden blonde hair, blue eyes, short nose, full lips, receding chin, long hair, wavy hair, wavy updo, full breasts, hoop earrings, rose, satin lipstick, black mesh bodysuit with embroidered flowers
beryllium, choker, temptress, short, slim, round face, olive skin, chestnut hair, pink eyes, straight nose, pouty lips, prominent chin, long hair, thick hair, high ponytail, firm breasts, huggie earrings, magenta, sheer lipstick, purple velvet bra and panty set with lace trim
beryllium, choker, trailblazer, tall, skinny, oval face, fair skin, blonde hair, brown eyes with green flecks, short nose, pouty lips, round chin, long hair, straight hair, boho braid, perky breasts, huggie earrings, teal, stain lipstick, orange satin slip
beryllium, cocktail brooch, baroness, average height, toned, square face, tan skin, dark brown hair, dark brown eyes, [[curved nose]], pouty lips, prominent chin, long hair, coarse hair, high chignon, small breasts, hoop earrings, red, satin lipstick, white sheer teddy with lace trim
beryllium, cocktail brooch, superwoman, short, skinny, square face, tan skin, light brown hair, grey eyes, narrow nose, thin lips, prominent chin, long hair, curly hair, long curled updo, asymmetrical breasts, stud earrings, violet, gloss lipstick, blue strappy bodysuit with cutouts
beryllium, cocktail ring, babe, tall, skinny, diamond-shaped face, dark skin, chestnut hair, hazel eyes with green flecks, long nose, full lips, prominent chin, long hair, curly hair, bun, asymmetrical breasts, clip-on earrings, plum, velvet lipstick, red mesh chemise with strappy back detail
beryllium, cocktail ring, starlet, tall, athletic, diamond-shaped face, tan skin, red hair, brown eyes with green flecks, short nose, thick lips, prominent chin, long hair, fine hair, long wavy hair, round breasts, dangle earrings, rust, matte lipstick, green sequin slip dress with thigh-high slits
beryllium, collar necklace, enchantress, average height, wide hips, oval face, tan skin, black hair, green eyes, [[curved nose]], pouty lips, prominent chin, shoulder-length hair, thick hair, short afro, asymmetrical breasts, dangle earrings, light pink, satin lipstick, plum satin and lace bustier
beryllium, collar necklace, madame, average height, fit, square face, dark skin, auburn hair, jade eyes, long nose, pouty lips, round chin, long hair, thick hair, viking braid, soft breasts, huggie earrings, coral, stain lipstick, blue strappy bodysuit with cutouts
